Department,Year,Abstract_Title,Abstract_Description,Sponsors1,Sponsors2,Sponsors3,PI/PDs1,PI/PDs2,PI/PDs3
Department Management Science and Information Systems,2021,"Information Sharing as a Multidimensional, Dyadic Problem: A Multilevel Study of Multiplex Relationships, Privacy, and Trust","Using network theory, we theorize that privacy concerns, trust, and information sharing occur at two levels: relational (i.e., dyadic) and individual. Relationships characterized as multiplex, or more multidimensional, are richer and experience greater t",Oklahoma State University,,,Andy Luse, Bryan Hammer,
Department Management Science and Information Systems,2021,Are Some Countries Wasting Their Time and Money with ICT4D Initiatives? A Process Freedom Approach to Understanding ICT4D Barriers,"Using publicly available archival data and a 2SLS model with instrumental variables, we test ICT cost, ICT infrastructure, and the interaction effect between e-participation and freedom of expression on ICTs to predict a country’s human development. Re",Oklahoma State University,,,Andy Luse, Bryan Hammer, Gabe Bahr
Department Management Science and Information Systems,2021,Journal Rankings and Impact Factors: A Comparative Analysis,"Publishing in journals of high quality and reputation has become increasingly important for faculty performance reviews, promotion and tenure.  The jury is still out regarding the best way to assess publications and varies widely among universities.  Tra",Oklahoma State University,,,Jeretta Horn Nord,,
Department Management Science and Information Systems,2021,Critical Components in Organizational Performance,"Organizational performance is one of the most important factors leading to a company’s success.  Recognizing the vital role of competencies, knowledge-oriented leadership, and innovation in organizations, there is a need to study how these variables af",Oklahoma State University,,,Jeretta Horn Nord, Alex Koohang," Joanna Paliszkiewicz, Marcin Soniewicki"
Department Management Science and Information Systems,2021,"Data Analytics in Organizations: Leadership, Management, Talent, and Performance","The success of today’s organizations depends on data analytics—obtaining data, analyzing it, and using the results to make informed decisions. Although the significance of analytics is recognized more than ever by those in businesses, many lack the l",Oklahoma State University,,,Jeretta Horn Nord,,
Department Management Science and Information Systems,2021,The Internet of Things (IoTs),"Those in the emerging digital world have recently witnessed the proliferation and impact of IoT-enabled devices. The Internet of Things (IoTs) has provided new opportunities in the technology arena while bringing security, privacy, and trust challenges t",Oklahoma State University,,,Jeretta Horn Nord,,
Department Management Science and Information Systems,2021,Using the Gaussian Copula to Generate the Predictive Distribution in Monotonic Nonlinear Models: An Efficient Resampling Approach,We present a resampling approach for generating the predictive distribution of a dependent variable that has monotonic nonlinear relationships with its predictors. The procedure provides an empirical estimate of the predictive (conditional) distribution ,Oklahoma State University, University of Oklahoma,,Rathindra Sarathy,,
Department Management Science and Information Systems,2021,When will I get out of the hospital? Modeling Length of Stay using Comorbidity Networks,"Using the EMR hosted by CHSI, we build models for predicting hospital length of stay by incorporating historical and probable comorbidities that a patient is likely to face during their hospital stay. The results show significant improvement in predictiv",Oklahoma State University, Auburn University,,Ramesh Sharda,,
Department Management Science and Information Systems,2021,Pandemic Information Support Lifecycle: Evidence from the Evolution of Mobile Apps during COVID-19,"We propose a pandemic information support lifecycle (PISL) consisting of five phases: awareness, preventive care, active information, confidence building and evaluation. We validated this PISL using analysis of the mobile apps developed worldwide.",Oklahoma State University, Auburn University,,Ramesh Sharda,,
Department Management Science and Information Systems,2021,Examining multimorbidity differences across racial groups: a network analysis of electronic medical records,"Using the EMR hosted through CHSI, we study health differences by analyzing multi-morbidities among seven population groups based on race. Our multimorbidity network analysis identifies specific differences in diagnoses among different population groups,",Oklahoma State University, Auburn University,,Ramesh Sharda, Julie Croff,
Department Management Science and Information Systems,2021,What should I believe? Exploring information validity on social network platforms,We develop a theoretical framework to explore the accuracy and objectivity of oscial networks content by employing social capital theory. The proposed and validated measures can help assign an accuracy and objectivity score to a conversation taking place,Oklahoma State University, Wright State University,,Ramesh Sharda,,
Department Management Science and Information Systems,2021,How Can Our Tweets Go Viral? Point-Process Modelling of Brand Content,We develop and test stochastic models based on Hawke’s process to be able to predict which tweets are likely to go viral.,Oklahoma State University, Wright State University,,Ramesh Sharda,,
Department Management Science and Information Systems,2021,Analytics/Data Science Decision Support for Management of Oklahoma COVID pandemic,We assist the State of Oklahoma with data accuracy analyses and positivity rate changes to better understand and mitigate the Covid-19 pandemic.,Oklahoma State Department of Health,,,Ramesh Sharda, Andy Luse,
Department Management Science and Information Systems,2021,COVID Increase Drives Decrease in Travel Risk Perception,This is a comparative analysis of perceived international travel risk immediately prior to COVID outbreak and in the months following most airlines returning to near full capacity.,Oklahoma State University,,,Mark Weiser,,
Department Management Science and Information Systems,2021,Task-based Self-efficacy and Perception Changes from Short-term Study Abroad Experiences,"This study evaluates the practical value of short-term faculty-led study abroad experiences to increase an individual's efficacy in tasks specifically related to traveling and interacting abroad, and in comfort and security perceptions about the country ",Oklahoma State University,,,Mark Weiser,,
Department Management Science and Information Systems,2021,Close to Home: A Survey of Municipal Policies for Short-term Home Rentals,This study surveys municipal legislation from small cities in which a Division 1 FBS school is located to categorize approaches in developing home-sharing markets.,Oklahoma State University,,,Mark Weiser,,
Department Management Science and Information Systems,2021,Impacts of Smart Technology on Short-term Rentals Operations,"This study analyzes the financial and operational impacts of deploying smart technologies in short-term rentals. Landlords are usually not co-located with lodging units rented through short-term agents, such as Airbnb and VRBO. Application of smart therm",Oklahoma State University,,,Mark Weiser,,
